,ID,gender,age,race,country_home,state_home,county_home,sports_5_12,sports_13_18,primary_sport_highschool,secondary_sport_highschool,leadership_role_highschool,stop_point,study_time_highschool,club_participation_highschool,club_highschool_num,highschool_gpa,highschool_training_days_per_week,highschool_training_hours_per_day,college_athlete_desire,sports_on_college_app,year_in_school,major,college_name,major_not_bing,not_bing_apply_bing,accepted_bing_not_bing,college_gpa,post_college_plan,college_ncaa_athlete,college_teams,college_intramural_sports,college_train_days_per_week,college_train_hours_per_day,sports_grade_impact,on_colleg_athlete_scholarship,how_recruited_to_ncaa
205,205,MALE,19,ASIAN,US,NY,ORANGE,YES,NO,NONE,NONE,NO,END OF MIDDLE SCHOOL,1,YES,5,99.0,0,0,NO,NO,SOPHOMORE,"COMPUTER SCIENCE, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.85,EMPLOYMENT,NO,NONE,YES,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
206,206,MALE,20,ASIAN,US,NY,QUEENS,YES,YES,BASEBALL,BADMINTON,YES,END OF MIDDLE SCHOOL,4,YES,3,98.0,2,4,YES,YES,JUNIOR,"INDUSTRIAL AND SYSTEMS ENGINEERING, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.01,BOTH,NO,NONE,YES,0,0,NO EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
207,207,FEMALE,20,ASIAN,US,NY,KINGS,YES,YES,VOLLEYBALL,TENNIS,NO,NEVER STOPPED,4,YES,1,92.0,4,3,NO,NO,JUNIOR,"ECONOMICS, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3,BOTH,NO,NONE,YES,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
208,208,FEMALE,21,"AMERICAN INDIAN OR ALASKA NATIVE, WHITE",US,CO,EL PASO,YES,YES,RUGBY,NONE,YES,NEVER STOPPED,4,YES,4,91.0,6,2,YES,YES,SENIOR,"PSYCHOLOGY, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.73,GRADUATE SCHOOL,NO,NONE,NO,0,0,NO EFFECT,NO,NOT A NCAA ATHLETE
209,209,MALE,18,ASIAN,US,NY,YONKERS,YES,YES,BASKETBALL,NONE,NO,END OF HIGH SCHOOL,5,YES,2,100.0,6,3,NO,YES,FRESHMAN,"MECHANICAL ENGINEERING, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,NO GPA YET,BOTH,NO,NONE,NO,0,0,NEGATIVE EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
210,210,MALE,20,MIDDLE EASTERN OR NORTH AFRICAN,US,NY,NASSAU,YES,YES,SOCCER,SWIMMING AND DIVING,YES,NEVER STOPPED,3,YES,3,98.0,6,2,YES,YES,JUNIOR,"ARABIC STUDIES, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.45,BOTH,NO,NONE,NO,0,0,POSITIVE EFFECT,NO,NOT A NCAA ATHLETE
211,211,FEMALE,20,"BLACK OR AFRICAN AMERICAN, WHITE",US,NY,NASSAU,YES,YES,GOLF,NONE,NO,END OF HIGH SCHOOL,8,YES,3,99.0,3,3,NO,YES,JUNIOR,"PHILOSOPHY, POLITICS, AND LAW, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.3,GRADUATE SCHOOL,NO,NONE,NO,0,0,NEUTRAL,NO,NOT A NCAA ATHLETE
212,212,FEMALE,24,WHITE,US,NY,ROCKLAND,YES,YES,VOLLEYBALL,ROWING,YES,END OF HIGH SCHOOL,4,YES,3,98.0,6,3,NO,YES,ALUM,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.84,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
213,213,MALE,20,BLACK OR AFRICAN AMERICAN,US,NY,WESTCHESTER,YES,YES,SOCCER,XC/TRACK AND FIELD,YES,NEVER STOPPED,4,YES,2,93.0,5,2,YES,YES,JUNIOR,"ECONOMICS, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3,UNSURE,YES,"SOCCER, XC/TRACK AND FIELD",NO,6,3,NEGATIVE EFFECT,YES,RECRUITED
214,214,FEMALE,21,HISPANIC OR LATINO,US,NY,ROCKLAND,YES,NO,NONE,NONE,NO,BEFORE MIDDLE SCHOOL,0,YES,2,97.0,0,0,NO,NO,SENIOR,"PHILOSOPHY, POLITICS, AND LAW, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.39,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
215,215,MALE,20,HISPANIC OR LATINO,US,NY,WESTCHESTER,YES,YES,WRESTLING,XC/TRACK AND FIELD,NO,DURING HIGH SCHOOL,3,YES,2,97.0,5,1.5,NO,YES,SENIOR,"BUSINESS ADMINISTRATION, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.74,BOTH,NO,NONE,YES,0,0,POSITIVE EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
216,216,FEMALE,20,WHITE,US,NY,SUFFOLK,YES,YES,VOLLEYBALL,XC/TRACK AND FIELD,NO,END OF HIGH SCHOOL,6,YES,5,98.0,6,3,NO,YES,SENIOR,"ECONOMICS, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.1,BOTH,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
217,217,FEMALE,18,BLACK OR AFRICAN AMERICAN,US,NY,WESTCHESTER,YES,YES,BASKETBALL,BASEBALL,NO,END OF HIGH SCHOOL,10,YES,5,UNKNOWN,3,1.5,NO,YES,FRESHMAN,"COMPUTER SCIENCE, BS",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,NO GPA YET,GRADUATE SCHOOL,NO,NONE,NO,0,0,POSITIVE EFFECT,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
218,218,NON-BINARY,24,"BLACK OR AFRICAN AMERICAN, HISPANIC OR LATINO",US,FL,LEON,YES,YES,SOFTBALL,NONE,NO,DURING HIGH SCHOOL,5,YES,3,UNKNOWN,2,2,NO,NO,JUNIOR,"THEATRE, BA",BINGHAMTON UNIVERSITY,BINGHAMTON STUDENT,YES,YES,3.83,EMPLOYMENT,NO,NONE,NO,0,0,NEUTRAL,NOT A NCAA ATHLETE,NOT A NCAA ATHLETE
